statistic,statistic_label,year,residence_adjustment_items,unit,value
EAA18C01,Carbon dioxide (CO2),2011,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,1038.1646
EAA18C01,Carbon dioxide (CO2),2011,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,519.0823
EAA18C01,Carbon dioxide (CO2),2011,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,38054.1371
EAA18C01,Carbon dioxide (CO2),2011,Total air emissions as reported to CLRTAP,Thousand Tonnes,42543.83505
EAA18C01,Carbon dioxide (CO2),2012,Total air emissions by resident units,Thousand Tonnes,47033.533
EAA18C01,Carbon dioxide (CO2),2012,Air emissions by national residents abroad,Thousand Tonnes,9670.6878
EAA18C01,Carbon dioxide (CO2),2012,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,5078.1368
EAA18C01,Carbon dioxide (CO2),2012,Air emissions from land transport by residents abroad,Thousand Tonnes,485.5858
EAA18C01,Carbon dioxide (CO2),2012,Air emissions from water transport by residents abroad,Thousand Tonnes,4835.3439
EAA18C01,Carbon dioxide (CO2),2012,Air emissions from air transport by residents abroad,Thousand Tonnes,9185.102
EAA18C01,Carbon dioxide (CO2),2012,Air emissions by non-residents on the territory,Thousand Tonnes,861.34
EAA18C01,Carbon dioxide (CO2),2012,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,861.34
EAA18C01,Carbon dioxide (CO2),2012,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,430.67
EAA18C01,Carbon dioxide (CO2),2012,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,38224.1851
EAA18C01,Carbon dioxide (CO2),2012,Total air emissions as reported to CLRTAP,Thousand Tonnes,42361.5656
EAA18C01,Carbon dioxide (CO2),2013,Total air emissions by resident units,Thousand Tonnes,46498.9461
EAA18C01,Carbon dioxide (CO2),2013,Air emissions by national residents abroad,Thousand Tonnes,10191.8273
EAA18C01,Carbon dioxide (CO2),2013,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,5285.12155
EAA18C01,Carbon dioxide (CO2),2013,Air emissions from land transport by residents abroad,Thousand Tonnes,378.4158
EAA18C01,Carbon dioxide (CO2),2013,Air emissions from water transport by residents abroad,Thousand Tonnes,5095.91365
EAA18C01,Carbon dioxide (CO2),2013,Air emissions from air transport by residents abroad,Thousand Tonnes,9813.4115
EAA18C01,Carbon dioxide (CO2),2013,Air emissions by non-residents on the territory,Thousand Tonnes,971.8017
EAA18C01,Carbon dioxide (CO2),2013,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,969.0708
EAA18C01,Carbon dioxide (CO2),2013,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,485.90085
EAA18C01,Carbon dioxide (CO2),2013,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,2.7309
EAA18C01,Carbon dioxide (CO2),2013,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,37278.9205
EAA18C01,Carbon dioxide (CO2),2013,Total air emissions as reported to CLRTAP,Thousand Tonnes,41846.7368
EAA18C01,Carbon dioxide (CO2),2014,Total air emissions by resident units,Thousand Tonnes,46414.5531
EAA18C01,Carbon dioxide (CO2),2014,Air emissions by national residents abroad,Thousand Tonnes,10621.0258
EAA18C01,Carbon dioxide (CO2),2014,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,5508.24445
EAA18C01,Carbon dioxide (CO2),2014,Air emissions from land transport by residents abroad,Thousand Tonnes,395.4631
EAA18C01,Carbon dioxide (CO2),2014,Air emissions from water transport by residents abroad,Thousand Tonnes,5310.51295
EAA18C01,Carbon dioxide (CO2),2014,Air emissions from air transport by residents abroad,Thousand Tonnes,10225.5628
EAA18C01,Carbon dioxide (CO2),2014,Air emissions by non-residents on the territory,Thousand Tonnes,1056.641
EAA18C01,Carbon dioxide (CO2),2014,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,1054.3074
EAA18C01,Carbon dioxide (CO2),2014,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,528.32045
EAA18C01,Carbon dioxide (CO2),2014,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,2.3335
EAA18C01,Carbon dioxide (CO2),2014,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,36850.1682
EAA18C01,Carbon dioxide (CO2),2014,Total air emissions as reported to CLRTAP,Thousand Tonnes,42742.22425
EAA18C01,Carbon dioxide (CO2),2015,Total air emissions by resident units,Thousand Tonnes,48634.2803
EAA18C01,Carbon dioxide (CO2),2015,Air emissions by national residents abroad,Thousand Tonnes,11449.9291
EAA18C01,Carbon dioxide (CO2),2015,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,5926.29805
EAA18C01,Carbon dioxide (CO2),2015,Air emissions from land transport by residents abroad,Thousand Tonnes,402.667
EAA18C01,Carbon dioxide (CO2),2015,Air emissions from water transport by residents abroad,Thousand Tonnes,5724.96455
EAA18C01,Carbon dioxide (CO2),2015,Air emissions from air transport by residents abroad,Thousand Tonnes,11047.2621
EAA18C01,Carbon dioxide (CO2),2015,Air emissions by non-residents on the territory,Thousand Tonnes,1531.64
EAA18C01,Carbon dioxide (CO2),2015,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,1531.4805
EAA18C01,Carbon dioxide (CO2),2015,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,765.81995
EAA18C01,Carbon dioxide (CO2),2015,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,0.1594
EAA18C01,Carbon dioxide (CO2),2015,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,38715.9911
EAA18C01,Carbon dioxide (CO2),2015,Total air emissions as reported to CLRTAP,Thousand Tonnes,45831.40005
EAA18C01,Carbon dioxide (CO2),2016,Total air emissions by resident units,Thousand Tonnes,52946.809
EAA18C01,Carbon dioxide (CO2),2016,Air emissions by national residents abroad,Thousand Tonnes,14039.6915
EAA18C01,Carbon dioxide (CO2),2016,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,7242.52295
EAA18C01,Carbon dioxide (CO2),2016,Air emissions from land transport by residents abroad,Thousand Tonnes,445.3544
EAA18C01,Carbon dioxide (CO2),2016,Air emissions from water transport by residents abroad,Thousand Tonnes,7019.84575
EAA18C01,Carbon dioxide (CO2),2016,Air emissions from air transport by residents abroad,Thousand Tonnes,13594.3371
EAA18C01,Carbon dioxide (CO2),2016,Air emissions by non-residents on the territory,Thousand Tonnes,1459.7619
EAA18C01,Carbon dioxide (CO2),2016,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,1459.7619
EAA18C01,Carbon dioxide (CO2),2016,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,729.88095
EAA18C01,Carbon dioxide (CO2),2016,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,40366.8793
EAA18C01,Carbon dioxide (CO2),2016,Total air emissions as reported to CLRTAP,Thousand Tonnes,47358.38765
EAA18C01,Carbon dioxide (CO2),2017,Total air emissions by resident units,Thousand Tonnes,54349.896
EAA18C01,Carbon dioxide (CO2),2017,Air emissions by national residents abroad,Thousand Tonnes,16090.8968
EAA18C01,Carbon dioxide (CO2),2017,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,8279.49845
EAA18C01,Carbon dioxide (CO2),2017,Air emissions from land transport by residents abroad,Thousand Tonnes,468.1001
EAA18C01,Carbon dioxide (CO2),2017,Air emissions from water transport by residents abroad,Thousand Tonnes,8045.4484
EAA18C01,Carbon dioxide (CO2),2017,Air emissions from air transport by residents abroad,Thousand Tonnes,15622.7967
EAA18C01,Carbon dioxide (CO2),2017,Air emissions by non-residents on the territory,Thousand Tonnes,816.6479
EAA18C01,Carbon dioxide (CO2),2017,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,816.6479
EAA18C01,Carbon dioxide (CO2),2017,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,408.32395
EAA18C01,Carbon dioxide (CO2),2017,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,39075.6471
EAA18C01,Carbon dioxide (CO2),2017,Total air emissions as reported to CLRTAP,Thousand Tonnes,47278.73415
EAA18C01,Carbon dioxide (CO2),2018,Total air emissions by resident units,Thousand Tonnes,55481.8212
EAA18C01,Carbon dioxide (CO2),2018,Air emissions by national residents abroad,Thousand Tonnes,17354.0469
EAA18C01,Carbon dioxide (CO2),2018,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,8882.56275
EAA18C01,Carbon dioxide (CO2),2018,Air emissions from land transport by residents abroad,Thousand Tonnes,411.0786
EAA18C01,Carbon dioxide (CO2),2018,Air emissions from water transport by residents abroad,Thousand Tonnes,8677.0235
EAA18C01,Carbon dioxide (CO2),2018,Air emissions from air transport by residents abroad,Thousand Tonnes,16942.9684
EAA18C01,Carbon dioxide (CO2),2018,Air emissions by non-residents on the territory,Thousand Tonnes,881.5933
EAA18C01,Carbon dioxide (CO2),2018,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,881.5933
EAA18C01,Carbon dioxide (CO2),2018,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,440.79665
EAA18C01,Carbon dioxide (CO2),2018,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,39009.3676
EAA18C01,Carbon dioxide (CO2),2018,Total air emissions as reported to CLRTAP,Thousand Tonnes,46616.11985
EAA18C01,Carbon dioxide (CO2),2019,Total air emissions by resident units,Thousand Tonnes,54222.8721
EAA18C01,Carbon dioxide (CO2),2019,Air emissions by national residents abroad,Thousand Tonnes,17965.2408
EAA18C01,Carbon dioxide (CO2),2019,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,9209.2908
EAA18C01,Carbon dioxide (CO2),2019,Air emissions from land transport by residents abroad,Thousand Tonnes,453.3408
EAA18C01,Carbon dioxide (CO2),2019,Air emissions from water transport by residents abroad,Thousand Tonnes,8982.6204
EAA18C01,Carbon dioxide (CO2),2019,Air emissions from air transport by residents abroad,Thousand Tonnes,17511.9
EAA18C01,Carbon dioxide (CO2),2019,Air emissions by non-residents on the territory,Thousand Tonnes,1065.7579
EAA18C01,Carbon dioxide (CO2),2019,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,1064.6409
EAA18C01,Carbon dioxide (CO2),2019,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,532.87895
EAA18C01,Carbon dioxide (CO2),2019,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,1.117
EAA18C01,Carbon dioxide (CO2),2019,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,37323.3893
EAA18C01,Carbon dioxide (CO2),2019,Total air emissions as reported to CLRTAP,Thousand Tonnes,39067.2511
EAA18C01,Carbon dioxide (CO2),2020,Total air emissions by resident units,Thousand Tonnes,40811.1129
EAA18C01,Carbon dioxide (CO2),2020,Air emissions by national residents abroad,Thousand Tonnes,6205.366
EAA18C01,Carbon dioxide (CO2),2020,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,3321.341
EAA18C01,Carbon dioxide (CO2),2020,Air emissions from land transport by residents abroad,Thousand Tonnes,437.316
EAA18C01,Carbon dioxide (CO2),2020,Air emissions from water transport by residents abroad,Thousand Tonnes,3102.683
EAA18C01,Carbon dioxide (CO2),2020,Air emissions from air transport by residents abroad,Thousand Tonnes,5768.05
EAA18C01,Carbon dioxide (CO2),2020,Air emissions by non-residents on the territory,Thousand Tonnes,518.7235
EAA18C01,Carbon dioxide (CO2),2020,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,517.5565
EAA18C01,Carbon dioxide (CO2),2020,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,259.36175
EAA18C01,Carbon dioxide (CO2),2020,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,1.167
EAA18C01,Carbon dioxide (CO2),2020,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,35124.4704
EAA18C01,Carbon dioxide (CO2),2020,Total air emissions as reported to CLRTAP,Thousand Tonnes,39105.14685
EAA18C01,Carbon dioxide (CO2),2021,Total air emissions by resident units,Thousand Tonnes,43085.8233
EAA18C01,Carbon dioxide (CO2),2021,Air emissions by national residents abroad,Thousand Tonnes,6399.9279
EAA18C01,Carbon dioxide (CO2),2021,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,3410.9029
EAA18C01,Carbon dioxide (CO2),2021,Air emissions from land transport by residents abroad,Thousand Tonnes,421.8779
EAA18C01,Carbon dioxide (CO2),2021,Air emissions from water transport by residents abroad,Thousand Tonnes,3199.96395
EAA18C01,Carbon dioxide (CO2),2021,Air emissions from air transport by residents abroad,Thousand Tonnes,5978.05
EAA18C01,Carbon dioxide (CO2),2021,Air emissions by non-residents on the territory,Thousand Tonnes,858.3767
EAA18C01,Carbon dioxide (CO2),2021,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,855.2807
EAA18C01,Carbon dioxide (CO2),2021,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,429.18835
EAA18C01,Carbon dioxide (CO2),2021,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,3.096
EAA18C01,Carbon dioxide (CO2),2021,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,37544.2721
EAA18C01,Carbon dioxide (CO2),2021,Total air emissions as reported to CLRTAP,Thousand Tonnes,43749.80025
EAA18C01,Carbon dioxide (CO2),2022,Total air emissions by resident units,Thousand Tonnes,49955.3284
EAA18C01,Carbon dioxide (CO2),2022,Air emissions by national residents abroad,Thousand Tonnes,14061.5568
EAA18C01,Carbon dioxide (CO2),2022,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,7233.0068
EAA18C01,Carbon dioxide (CO2),2022,Air emissions from land transport by residents abroad,Thousand Tonnes,404.4568
EAA18C01,Carbon dioxide (CO2),2022,Air emissions from water transport by residents abroad,Thousand Tonnes,7030.7784
EAA18C01,Carbon dioxide (CO2),2022,Air emissions from air transport by residents abroad,Thousand Tonnes,13657.1
EAA18C01,Carbon dioxide (CO2),2022,Air emissions by non-residents on the territory,Thousand Tonnes,817.615
EAA18C01,Carbon dioxide (CO2),2022,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,812.018
EAA18C01,Carbon dioxide (CO2),2022,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,408.8075
EAA18C01,Carbon dioxide (CO2),2022,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,5.597
EAA18C01,Carbon dioxide (CO2),2022,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,36711.3865
EAA18C01,Carbon dioxide (CO2),2022,Total air emissions as reported to CLRTAP,Thousand Tonnes,19018.11255
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,Total air emissions by resident units,Thousand Tonnes,1324.8386
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,Air emissions by national residents abroad,Thousand Tonnes,13.8748
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,13.8748
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,Air emissions from land transport by residents abroad,Thousand Tonnes,13.8748
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,Air emissions from water transport by residents abroad,Thousand Tonnes,18.42796667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,Air emissions from air transport by residents abroad,Thousand Tonnes,22.98113333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,Air emissions by non-residents on the territory,Thousand Tonnes,27.5343
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,27.5343
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,18.3562
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,9.1781
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1338.4981
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2010,Total air emissions as reported to CLRTAP,Thousand Tonnes,1342.0746
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,Total air emissions by resident units,Thousand Tonnes,1345.6511
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,Air emissions by national residents abroad,Thousand Tonnes,15.1811
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,15.1811
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,Air emissions from land transport by residents abroad,Thousand Tonnes,15.1811
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,Air emissions from water transport by residents abroad,Thousand Tonnes,20.6442
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,Air emissions from air transport by residents abroad,Thousand Tonnes,26.1073
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,Air emissions by non-residents on the territory,Thousand Tonnes,31.5704
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,31.5704
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,21.04693333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,10.52346667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1362.0404
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2011,Total air emissions as reported to CLRTAP,Thousand Tonnes,1400.46925
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,Total air emissions by resident units,Thousand Tonnes,1438.8981
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,Air emissions by national residents abroad,Thousand Tonnes,12.3031
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,12.3031
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,Air emissions from land transport by residents abroad,Thousand Tonnes,12.3031
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,Air emissions from water transport by residents abroad,Thousand Tonnes,15.4585
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,Air emissions from air transport by residents abroad,Thousand Tonnes,18.6139
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,Air emissions by non-residents on the territory,Thousand Tonnes,21.7693
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,21.7693
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,14.51286667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,7.256433333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1448.3642
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2012,Total air emissions as reported to CLRTAP,Thousand Tonnes,1550.78545
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,Total air emissions by resident units,Thousand Tonnes,1653.2067
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,Air emissions by national residents abroad,Thousand Tonnes,11.7514
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,11.7514
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,Air emissions from land transport by residents abroad,Thousand Tonnes,11.7514
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,Air emissions from water transport by residents abroad,Thousand Tonnes,17.85293333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,Air emissions from air transport by residents abroad,Thousand Tonnes,23.95446667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,Air emissions by non-residents on the territory,Thousand Tonnes,30.056
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,30.056
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,20.03733333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,10.01866667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1671.5112
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2013,Total air emissions as reported to CLRTAP,Thousand Tonnes,1759.5238
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,Total air emissions by resident units,Thousand Tonnes,1847.5364
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,Air emissions by national residents abroad,Thousand Tonnes,14.051
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,14.051
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,Air emissions from land transport by residents abroad,Thousand Tonnes,14.051
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,Air emissions from water transport by residents abroad,Thousand Tonnes,21.73
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,Air emissions from air transport by residents abroad,Thousand Tonnes,29.409
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,Air emissions by non-residents on the territory,Thousand Tonnes,37.088
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,37.088
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,24.72533333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,12.36266667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1870.5734
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2014,Total air emissions as reported to CLRTAP,Thousand Tonnes,1841.2703
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,Total air emissions by resident units,Thousand Tonnes,1811.9672
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,Air emissions by national residents abroad,Thousand Tonnes,14.4068
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,14.4068
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,Air emissions from land transport by residents abroad,Thousand Tonnes,14.4068
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,Air emissions from water transport by residents abroad,Thousand Tonnes,27.6716
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,Air emissions from air transport by residents abroad,Thousand Tonnes,40.9364
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,Air emissions by non-residents on the territory,Thousand Tonnes,54.2012
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,54.2012
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,36.13413333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,18.06706667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1851.7615
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2015,Total air emissions as reported to CLRTAP,Thousand Tonnes,1939.74855
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,Total air emissions by resident units,Thousand Tonnes,2027.7356
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,Air emissions by national residents abroad,Thousand Tonnes,12.9029
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,12.9029
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,Air emissions from land transport by residents abroad,Thousand Tonnes,12.9029
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,Air emissions from water transport by residents abroad,Thousand Tonnes,22.7347
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,Air emissions from air transport by residents abroad,Thousand Tonnes,32.5665
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,Air emissions by non-residents on the territory,Thousand Tonnes,42.3983
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,42.3983
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,28.26553333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,14.13276667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,2057.231
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2016,Total air emissions as reported to CLRTAP,Thousand Tonnes,2200.21515
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,Total air emissions by resident units,Thousand Tonnes,2343.1993
